               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080833,            0.031347,                   0,             0.32318,              0.2963,             0.28837,            0.086723,            0.042665,            0.014903,                   0,            0.070268,           0.0033036,           0.0033036
                   1,            0.056105,            0.023682,                   0,             0.67988,             0.53704,             0.67382,             0.27255,            0.044096,            0.010325,                   0,            0.040202,           0.0065712,           0.0065712
                   2,            0.051037,            0.020606,                   0,             0.44214,             0.81481,             0.51937,             0.25479,            0.041998,           0.0086444,                   0,             0.01007,           0.0097728,           0.0097728
                   3,            0.046668,            0.018287,                   0,             0.68833,             0.55556,             0.72696,             0.31876,            0.038693,           0.0079446,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.040837,            0.018065,                   0,             0.96001,             0.90741,             0.95356,             0.55738,            0.027753,           0.0071139,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.038114,            0.017941,                   0,             0.87123,             0.87709,             0.91274,             0.42829,            0.033967,           0.0077608,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.035966,            0.016727,                   0,             0.94589,             0.92593,             0.97386,             0.59411,            0.027364,           0.0069698,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.035299,             0.01572,                   0,             0.94461,             0.94755,             0.97975,             0.56934,            0.029328,           0.0070863,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.032893,            0.015663,                   0,             0.93609,             0.98148,             0.98324,             0.59474,            0.024924,           0.0067279,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.03406,            0.015868,                   0,             0.98062,             0.93727,             0.98292,             0.61503,            0.022991,           0.0070338,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.031982,             0.01538,                   0,              0.9902,             0.94444,             0.99075,             0.58798,            0.021675,           0.0068416,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.030917,             0.01404,                   0,             0.96692,             0.94444,             0.97111,             0.57096,            0.025687,           0.0070271,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.031809,            0.015355,                   0,             0.99245,             0.94444,             0.98786,             0.57157,            0.028452,           0.0066339,                   0,            0.008911,            0.008911,            0.008911
